111116_Sunny_Martina_31,111116_Sunny_Marti.1
20120410_Claudia_and_Hang_44,20120410_Claudia_a.1
20120425_greentea_RT_PCRsunny_47,20120425_greentea_.1
20120518_6xSunny_2xAGHeilbronn_48,20120518_6xSunny_2.1
20120525_6xSunny_1xAna_51,20120525_6xSunny_1.1
20120613_2xSunny_2xAGHeilbronn_53,20120613_2xSunny_2.1
20120704_2xC8Alkyne_PCRtest_56,20120704_2xC8Alkyn.1
20120720_4xSunny_2xAna_59,20120720_4xSunny_2.1
20120829_3xSunny_x2_2xCharite_70,20120829_3xSunny_x.1
20120912_2xZhixing_2xMarburg_77,20120912_2xZhixing.1
20120926_52x3Marburg_54ZhixingWTx2_55ZhixingTEx2_80,20120926_52x3Marbu.1
20121010_magbead_sunny2kb_85,20121010_magbead_s.1
20121018_C8AlkynedU1x_dC1x_SOLO_87,20121018_C8Alkyned.1
201210xx_C8AlkynedU1x_dC1x_Sunny2kb3x_83,201210xx_C8Alkyned.1
20121221_sunny_dscam_59-62_98,20121221_sunny_dsc.1
2012_04_05_testrun_iLambda_43,2012_04_05_testrun.1
2013-02-05testrunLAMBDA_120,2013-02-05testrunL.1
2013-02-13_64sunny_73_77marburg_133,2013-02-13_64sunny.1
2013-02-14_SPRET_67_68_139,2013-02-14_SPRET_6.1
2013-02-15_TURTLE_71_72_143,2013-02-15_TURTLE_.1
2013-02-17x18AGAIN_magbeadSPRET_156,2013-02-17x18AGAIN.1
2013-02-19magb_TURTLE_160,2013-02-19magb_TUR.1
2013-03-08_78_79_81_82_charite_170,2013-03-08_78_79_8.1
2013-03-19_88_89_83_84_85_176,2013-03-19_88_89_8.1
2013-03-2083_84_85_86B_87B_181,2013-03-2083_84_85.1
2013-03-21_Zhixing_86B_87B_186,2013-03-21_Zhixing.1
2013-03-27MArburg73_77_purifII_192,2013-03-27MArburg7.1
2013-04-12_SPRETlargenomagb65_66_smallNOTN90_91_203,2013-04-12_SPRETla.1
2013-04-18SPRETlarger3kb_2-3kb_NEWANNEALED_204,2013-04-18SPRETlar.1
2013-04-19_LAMBDA_V2oldcell_206,2013-04-19_LAMBDA_.1
2013-04-23_SPRET_large_repurified_213,2013-04-23_SPRET_l.1
2013-04-24_SPRET_morePrimerPCR_3x_214,2013-04-24_SPRET_m.1
2013-08-14_fibro_smar_ttest_al_lfour_II_218,2013-08-14_fibro_s.1
2013-08-16_fibrosmart_larger_BAC3_219,2013-08-16_fibrosm.1
2013-08-20_fibrosmart98_99_BAC3_220,2013-08-20_fibrosm.1
2013-09-06_5cap_II_223,2013-09-06_5cap_II.1
2013-09-11_2xBAC_6xsmart_224,2013-09-11_2xBAC_6.1
2013-09-12_4x2-3kb_4x1-2kbSMART_FIBRO_225,2013-09-12_4x2-3kb.1
2013-09-13_2x1-2kb_4x0_3-1kb_2xBAC6_227,2013-09-13_2x1-2kb.1
2013-0x-xx_76Marburg_magbead_201,2013-0x-xx_76Marbu.1
2013-10-02_2eachsizeFIBRO_SMART_231,2013-10-02_2eachsi.1
2013-10-24_BAC2_2x_BAC6a_2x_232,2013-10-24_BAC2_2x.1
2013-10-29_magbead_BACs_fibrosmartandcap_234,2013-10-29_magbead.1
2013-11-04_7xDSCAMs_1x5caplarger3_allmagbead_235,2013-11-04_7xDSCAM.1
2013-12-18_126_127_130_131_237,2013-12-18_126_127.1
2013-12-20_126_127_130_131_II_loadmore_238,2013-12-20_126_127.1
2013-12-22_128_129_132_133_49_48_32_31_240,2013-12-22_128_129.1
20130104_62mix_repeat_titration_101,20130104_62mix_rep.1
20130130_sunny2kb_and_spret_turtle_small_106,20130130_sunny2kb_.1
20130201_2kb_S2_sunny_8morecells_110,20130201_2kb_S2_su.1
20130204_spret65_66_turtle69_70_MAGBEAD_114,20130204_spret65_6.1
20130212_SATtestrun_123,20130212_SATtestru.1
2013_BG3C2_Sunny2kb_5cells_167,2013_BG3C2_Sunny2k.1
2014-01-06_128_2x129_132_2x133_117_118_242,2014-01-06_128_2x1.1
2014-01-09_128_7x132_255,2014-01-09_128_7x1.1
2014-01-31_1x134_1x135_smaller1kb_test_266,2014-01-31_1x134_1.1
2014-02-03_4x134_4x135_268,2014-02-03_4x134_4.1
2014-02-04_4x134_4x135_269,2014-02-04_4x134_4.1
2014-02-17_sunnyPCDHalphaRACE_273,2014-02-17_sunnyPC.1
2014-03-11__136_137_138_275,2014-03-11__136_13.1
2014-03-18_139=S1_140=N1_276,2014-03-18_139=S1_.1
2014-03-20_4x139S1_4x140N1_RAT_277,2014-03-20_4x139S1.1
2014-03-24_M1_bc1_bc2_2cells_314,2014-03-24_M1_bc1_.1
2014-03-30_sperling2_318,2014-03-30_sperlin.1
2014-05-05_RACEtest_278,2014-05-05_RACEtes.1
2014-05-06_race_C_D_repeat_280,2014-05-06_race_C_.1
2014-06-11_Marburg_RACE_sunny_283,2014-06-11_Marburg.1
2014-06-13_148and149=marburg_284,2014-06-13_148and1.1
2014-06-16_145=BAC6_10kb_285,2014-06-16_145=BAC.1
2014-06-18_4xsmart_287,2014-06-18_4xsmart.1
2014-08-14_2xJingyi=164_165_292,2014-08-14_2xJingy.1
2014-09-09_ratqpcrmix_166_294,2014-09-09_ratqpcr.1
2014-09-18_171_172_173_295,2014-09-18_171_172.1
2014-10-07_177_178_297,2014-10-07_177_178.1
2014-10-22_sunny178_300,2014-10-22_sunny17.1
2014-10-2x_183_JingyiNEWbarcodedP1267_301,2014-10-2x_183_Jin.1
2014-11-05_SunnyRACE_left_right_302,2014-11-05_SunnyRA.1
2014-11-14_7cells_sunny_emre_diverse_303,2014-11-14_7cells_.1
2014-12-11_aarhus195_196_197_each2x_304,2014-12-11_aarhus1.1
2014_01_07_7x128_132_254,2014_01_07_7x128_1.1
2014_01_10_7x132_257,2014_01_10_7x132_2.1
2014_01_12_8x126_258,2014_01_12_8x126_2.1
2014_01_14_8x130_N1_N_larger3kb_263,2014_01_14_8x130_N.1
2014_01_15_8x127_8x131_264,2014_01_15_8x127_8.1
2015-01-05_218_219_2.5xand3.5x_306,2015-01-05_218_219.1
2015-01-16_AarhusII_307,2015-01-16_AarhusI.1
2015-01-19_ArhusII_barcodedFrog_308,2015-01-19_ArhusII.1
2015-01-19_Emre_AarhusII_repeats_309,2015-01-19_Emre_Aa.1
2015-02-04_139P6_140P6_311,2015-02-04_139P6_1.1
2015-02-24_228PCDHctrls_229BRP_312,2015-02-24_228PCDH.1
2015-03-26_M1_bc1_bc2_2cellsREPEAT_316,2015-03-26_M1_bc1_.1
2015-03-27_M1_bc1_bc2_2cells__317,2015-03-27_M1_bc1_.1
2015-03-xx_230_ECRCsperling1_313,2015-03-xx_230_ECR.1
2015-06-19_239SunnyBRPminus_321,2015-06-19_239Sunn.1
2015-06-30_240-243_322,2015-06-30_240-243.1
2015-06-xx_4cellsIZW_234_235_236_237_320,2015-06-xx_4cellsI.1
2015-07-20_244_Nextera_Sunny_FL_mix_323,2015-07-20_244_Nex.1
2015-09-18_247_Nextera_FL1_4xRTtemp_329,2015-09-18_247_Nex.1
2015-09-24_248_249_250_251_330,2015-09-24_248_249.1
2015-09-29_252kun_248Asunny_MAGBEAD_332,2015-09-29_252kun_.1
2015-10-27_4xsunny_1xdkfz_337,2015-10-27_4xsunny.1
2015-10-28_2xDKFZ_1xKun_338,2015-10-28_2xDKFZ_.1
2015-12-03_8xlargeDKFZ_339,2015-12-03_8xlarge.1
2015-12-10_8xsmallDKFZ_340,2015-12-10_8xsmall.1
2015_06_xx_ECRC03_no238_319,2015_06_xx_ECRC03_.1
2016-01-06_Kun298_JuliaDRFZ276_Jingyi277_341,2016-01-06_Kun298_.1
2016-01-07_277diff_298diff_342,2016-01-07_277diff.1
2016-02-04_5xDavid_3xdkfz_345,2016-02-04_5xDavid.1
2016-02-19_DIFF_3xIZW_1xMSX_4xdrfz_346,2016-02-19_DIFF_3x.1
2016-02-22_4xizw_4xdkfz_347,2016-02-22_4xizw_4.1
2016-03-08_335_Kun1_349,2016-03-08_335_Kun.1
2016-03-18_336Sunny_nexteraMIX_350,2016-03-18_336Sunn.1
2016-03-21_1xizw_7xdkfzsmall_ALLMAGB_353,2016-03-21_1xizw_7.1
2016-03-23_8xdkfz_356,2016-03-23_8xdkfz_.1
2016-05-09_dkfz346_347_348_342_343_332_333_334_360,2016-05-09_dkfz346.1
2016-05-12_360sunnynextera361meishengII_361,2016-05-12_360sunn.1
2016-05-17_349_350_351_352_353_354_355_331_363,2016-05-17_349_350.1
2016-05-23_683_684_685_362_346_334_333_325_365,2016-05-23_683_684.1
2016-05-26_346_358_322_323_324_326_329_330_366,2016-05-26_346_358.1
2016-05-xx_334_325_326_327_328_329_330_341II_362,2016-05-xx_334_325.1
2016-06-15_358_363-369_368,2016-06-15_358_363.1
2016-07-19_358marb_370-376dkfz_370,2016-07-19_358marb.1
2016-07-21_377-381_364_364_367_371,2016-07-21_377-381.1
2016-08-25_dkfz_Zinssen_375,2016-08-25_dkfz_Zi.1
2016-08-29_3x406zinss_382_393_384_385_395_376,2016-08-29_3x406zi.1
2016-08-31_386-389_397_400-402_377,2016-08-31_386-389.1
2016-09-02_sunny_pcrproductsPCDHzebrafish_378,2016-09-02_sunny_p.1
2016-10-07_411_nkm_7kb_380,2016-10-07_411_nkm.1
2016-10-25_412-419_382,2016-10-25_412-419.1
2016-10-26__414__420-_423_383,2016-10-26__414__4.1
2016-10-28_dkfz424-430_448IZW_384,2016-10-28_dkfz424.1
2016-10-31_431-438_dkfz_385,2016-10-31_431-438.1
2016-11-28_8xdkfz_438-445_388,2016-11-28_8xdkfz_.1
2016-11-30_4xdkfz_389,2016-11-30_4xdkfz_.1
2016-12-07_8xdkfzmouse35587_390,2016-12-07_8xdkfzm.1
2016-12-09_8xdkfzmouse35587_391,2016-12-09_8xdkfzm.1
2016-12-15_8xdkfzmouse35587_392,2016-12-15_8xdkfzm.1
2016-12-19_dkfz_2xmouse35587_6xctrl_393,2016-12-19_dkfz_2x.1
2016-12-22_dkfz_2_8_394,2016-12-22_dkfz_2_.1
20160201_David_278-285_1-8_344,20160201_David_278.1
20160502_359msx_360sunnynextera_2xDIFF_358,20160502_359msx_36.1
2017-01-09_2xdkfz_6xizw_398,2017-01-09_2xdkfz_.1
2017-01-11_8xizw_399,2017-01-11_8xizw_3.1
2017-01-13_8xizw_400,2017-01-13_8xizw_4.1
2017-01-16_8xizw_401,2017-01-16_8xizw_4.1
2017-01-31_2dkfz_6dkfz_402,2017-01-31_2dkfz_6.1
2017-02-02_8xdkfz_403,2017-02-02_8xdkfz_.1
2017-02-07_8xdkfz_404,2017-02-07_8xdkfz_.1
2017-02-16_8xdkfz_405,2017-02-16_8xdkfz_.1
2017-02-20_8xdkfz_406,2017-02-20_8xdkfz_.1
2017-02-23_4xdkfz_407,2017-02-23_4xdkfz_.1
2017-03-08_6xdkfz_409,2017-03-08_6xdkfz_.1
2017-03-10_1xdkfz_1xgiota_1xsalah_410,2017-03-10_1xdkfz_.1
2017_03-06_8xdkfz_408,2017_03-06_8xdkfz_.1
26-02-2013_LAMBDA_1xsmrtcell_162,26-02-2013_LAMBDA_.1
27Sept_Lambda_2kB_prebound_complex_2_23,27Sept_Lambda_2kB_.1
28Sept_1kb_2kb_self_prepped_libraries_25,28Sept_1kb_2kb_sel.1
29Sep_6kb_Strobe_Libraries_27,29Sep_6kb_Strobe_L.1
30Sep11_250bp_Lambda_29,30Sep11_250bp_Lamb.1
42155_02162012_SNR_Calibration_32,42155_02162012_SNR.1
42155_SAT_LegReplacement_357,42155_SAT_LegRepla.1
42155_Test_afterC_Failure_359,42155_Test_afterC_.1
ControlComplexXL_xx-12-2012_92,ControlComplexXL_x.1
Instr42155_SATplate_08-09-2015_328,Instr42155_SATplat.1
Lambda_ECO500mW_08AU12_66,Lambda_ECO500mW_08.1
NOISE_PLATE_7_3_12_38,NOISE_PLATE_7_3_12.1
SAT_01June16_after_Leg5_ChipCL_replacement_367,SAT_01June16_after.1
SAT_After_Stage_Leg_Replacement_299,SAT_After_Stage_Le.1
SAT_LEG_Replacement_July16_369,SAT_LEG_Replacemen.1
SAT_Lambda2kb_PM_201209_71,SAT_Lambda2kb_PM_2.1
SAT_PLATE_02202012_34,SAT_PLATE_02202012.1
SAT_PLATE_15_3_12_39,SAT_PLATE_15_3_12_.1
SAT_PLATE_17_07_2013_215,SAT_PLATE_17_07_20.1
SAT_PLATE_22_3_12_41,SAT_PLATE_22_3_12_.1
SAT_Plate_02172012_33,SAT_Plate_02172012.1
SAT_RHadjustment_20121016_86,SAT_RHadjustment_2.1
SAT_RS42155_20MAY16_CameraReplacement_364,SAT_RS42155_20MAY1.1
SAT_RS42155_PM2016_18AUG16_373,SAT_RS42155_PM2016.1
